frame_index,timestamp,brand_name,box_coordinates
380,380.0,BLACKBERRYS,"(1117, 160, 1326, 252)"
388,388.0,BLACKBERRYS,"(430, 388, 540, 444)"
389,389.0,BLACKBERRYS,"(193, 368, 298, 421)"
390,390.0,Vara,"(528, 207, 615, 254)"
391,391.0,elleven,"(1317, 420, 1408, 468)"
392,392.0,TK-01-8C-4675,"(1797, 626, 1873, 679)"
393,393.0,TK-01-8C-4675,"(1829, 614, 1904, 668)"
394,394.0,Uniforms Sugan,"(1427, 263, 1495, 318)"
395,395.0,TK-01-8C-4675,"(1657, 612, 1731, 662)"
396,396.0,Sudha,"(1253, 101, 1345, 149)"
397,397.0,CMaybell,"(1533, 321, 1664, 379)"
398,398.0,RATHNA STORES,"(1332, 330, 1477, 384)"
399,399.0,SOCh,"(484, 347, 557, 414)"
403,403.0,yara Mahalakshmi,"(833, 197, 971, 294)"
404,404.0,Vara Mahalakshmi,"(779, 234, 895, 322)"
406,406.0,ROOMW,"(1180, 13, 1234, 174)"
407,407.0,Douaa,"(1255, 208, 1499, 313)"
410,410.0,soch,"(1500, 157, 1773, 331)"
411,411.0,soch,"(1390, 171, 1635, 339)"
412,412.0,ROOMO,"(792, 205, 841, 311)"
413,413.0,ROOMS,"(768, 226, 816, 329)"
415,415.0,ROOMO,"(733, 273, 782, 367)"
424,424.0,uhauo,"(1801, 978, 1855, 1073)"
431,431.0,Sarees,"(1584, 281, 1730, 341)"
432,432.0,SUMATISONS,"(1572, 126, 1744, 185)"
438,438.0,PV/LTD,"(0, 357, 157, 421)"
441,441.0,JRITA,"(1646, 320, 1709, 403)"
444,444.0,FAAZ,"(1114, 362, 1174, 401)"
465,465.0,Durable,"(1649, 297, 1788, 370)"
467,467.0,KANCHI PLAZA,"(1808, 297, 1915, 355)"
468,468.0,BROTHERS,"(1794, 272, 1886, 323)"
469,469.0,KANCHI PLAZA SILPA,"(1418, 340, 1522, 401)"
472,472.0,FAAZ,"(1587, 346, 1695, 399)"
473,473.0,OLD COVERING,"(812, 329, 920, 373)"
474,474.0,G.D.Sekar&Co,"(1501, 336, 1589, 382)"
475,475.0,BROTHERS,"(220, 247, 301, 292)"
476,476.0,Uniforms SUMATISONS,"(1382, 341, 1485, 391)"
477,477.0,Brita,"(955, 324, 1023, 378)"
478,478.0,Brita,"(852, 297, 922, 352)"
479,479.0,SUMATISONS,"(1356, 148, 1470, 209)"
483,483.0,NO PARKING,"(277, 239, 383, 306)"
484,484.0,TN-05-AF-5179,"(165, 608, 295, 670)"
492,492.0,RNOPINN,"(559, 362, 639, 420)"
493,493.0,NO PARKING,"(478, 386, 561, 439)"
507,507.0,TK73NE208,"(80, 531, 163, 576)"
525,525.0,GILTON,"(69, 134, 166, 186)"
684,684.0,Sogwn,"(1029, 752, 1117, 824)"
712,712.0,INDIAN CKKA FASTER,"(101, 0, 649, 200)"
713,713.0,OLD COVERING,"(1153, 247, 1267, 328)"
723,723.0,TWIN,"(501, 26, 652, 128)"
724,724.0,TWIN,"(588, 54, 729, 154)"
725,725.0,TWIN,"(674, 76, 800, 171)"
727,727.0,KANCHI PLAZA BROTHERS,"(329, 90, 738, 249)"
731,731.0,4THFLOOR,"(66, 370, 174, 410)"
734,734.0,Durable,"(1408, 408, 1516, 454)"
736,736.0,e of IGthCenturg FVIE STARS,"(1582, 141, 1715, 281)"
737,737.0,FVIE STARS,"(1542, 185, 1680, 338)"
738,738.0,INNER WEARS Prithvi,"(1736, 571, 1827, 627)"
739,739.0,Durable,"(523, 393, 612, 437)"
740,740.0,GILTON,"(1013, 307, 1130, 358)"
741,741.0,Durable,"(1718, 315, 1824, 365)"
743,743.0,KANCHI PLAZA SHLKPA,"(1005, 42, 1232, 208)"
753,753.0,BAHI,"(270, 697, 354, 739)"
754,754.0,INNER WEARS Prithvi,"(1297, 387, 1455, 458)"
756,756.0,INNER WEARS Prithvi,"(1380, 449, 1552, 534)"
757,757.0,INNER WEARS Prithvi,"(1392, 460, 1555, 541)"
758,758.0,INNER WEARS Prithvi,"(1329, 442, 1499, 527)"
759,759.0,OOXKET,"(1529, 126, 1582, 186)"
760,760.0,Prithvi,"(768, 466, 943, 540)"
761,761.0,Prithvi,"(523, 605, 727, 692)"
762,762.0,Prithvi,"(6, 888, 220, 1003)"
764,764.0,IN09,"(1848, 950, 1920, 1013)"
767,767.0,Prithvi,"(532, 562, 668, 619)"
768,768.0,Prithvi,"(370, 565, 487, 620)"
769,769.0,Prithvi,"(184, 565, 294, 619)"
770,770.0,Prithvi,"(158, 557, 252, 604)"
771,771.0,Prithvi,"(193, 560, 277, 602)"
772,772.0,Prithvi,"(235, 549, 314, 591)"
784,784.0,TN09 CB8413,"(935, 358, 1039, 413)"
785,785.0,BAIAJIS,"(1319, 56, 1402, 99)"
786,786.0,BAIAJIS,"(1421, 128, 1495, 171)"
787,787.0,BAIAJIS,"(1444, 148, 1524, 188)"
788,788.0,LADCO,"(1562, 172, 1651, 213)"
789,789.0,BAIAJIS,"(1483, 177, 1562, 219)"
791,791.0,LADCO,"(1620, 197, 1710, 239)"
792,792.0,BAIAJIS,"(1541, 201, 1622, 243)"
793,793.0,unoonelaio,"(1539, 48, 1620, 97)"
794,794.0,BAIAJIS,"(1559, 206, 1642, 251)"
795,795.0,LALCO,"(1671, 220, 1762, 262)"
796,796.0,LAICO,"(1691, 227, 1785, 271)"
797,797.0,uneotelloo Onerclo,"(1584, 69, 1669, 120)"
798,798.0,BAIAJIS,"(1604, 241, 1688, 280)"
799,799.0,LALCO,"(1716, 250, 1807, 290)"
800,800.0,onena umendlloo,"(1614, 92, 1694, 141)"
801,801.0,LALCO,"(1738, 252, 1830, 299)"
802,802.0,LALCO,"(1740, 256, 1834, 300)"
803,803.0,BAIAJIS,"(1644, 257, 1728, 300)"
804,804.0,BAIAJIS,"(1642, 257, 1725, 300)"
805,805.0,umroneldo,"(1622, 91, 1708, 143)"
806,806.0,uinelso,"(1627, 93, 1715, 144)"
807,807.0,onenca ueonrellaio,"(1630, 97, 1713, 140)"
808,808.0,BAIAJIS,"(1651, 250, 1735, 292)"
809,809.0,LALCO,"(1760, 250, 1850, 292)"
810,810.0,LAJCO,"(1767, 250, 1858, 293)"
811,811.0,LALCO,"(1787, 251, 1882, 295)"
812,812.0,BAIAJIS,"(1710, 249, 1789, 290)"
813,813.0,BAIAJIS,"(1723, 245, 1809, 287)"
814,814.0,BAIAJIS,"(1737, 246, 1821, 289)"
816,816.0,BAIAJIS,"(1773, 242, 1856, 283)"
817,817.0,BAIAJIS,"(1798, 235, 1881, 279)"
818,818.0,BAIAJIS,"(1809, 244, 1895, 286)"
819,819.0,BAIAJIS,"(1798, 235, 1884, 278)"
820,820.0,VEEKAY,"(1357, 259, 1466, 307)"
821,821.0,opencl uncolnelldo,"(1700, 77, 1785, 127)"
822,822.0,onenca unoonelaio,"(1693, 81, 1781, 132)"
823,823.0,LALCO,"(1810, 251, 1906, 296)"
824,824.0,LALCO,"(1809, 257, 1899, 302)"
825,825.0,unoonelaio,"(1693, 94, 1775, 143)"
827,827.0,TN09,"(1528, 740, 1613, 785)"
828,828.0,BAIAJIS,"(1808, 256, 1894, 300)"
829,829.0,BAIAJIS,"(1804, 269, 1885, 309)"
830,830.0,BAIAJIS,"(1788, 270, 1872, 313)"
836,836.0,bnanaGu,"(1144, 166, 1229, 208)"
838,838.0,unoonelaio,"(1717, 103, 1798, 145)"
839,839.0,BUDGET,"(1186, 269, 1303, 328)"
841,841.0,BUDGET,"(1231, 248, 1334, 305)"
842,842.0,点5Gu,"(1259, 137, 1343, 180)"
844,844.0,BUDGET,"(1257, 265, 1353, 319)"
845,845.0,品5Gu,"(1267, 153, 1355, 195)"
856,856.0,历品Cu,"(1837, 253, 1920, 301)"
866,866.0,品品Gu,"(1826, 255, 1917, 301)"
869,869.0,65盘品Gu,"(1822, 256, 1918, 303)"
900,900.0,Travelwithchris,"(140, 962, 467, 1038)"
901,901.0,Travelwithchris,"(138, 924, 464, 1040)"
913,913.0,AVAILABLE RENTAL,"(89, 758, 195, 833)"
914,914.0,fashion jewellery,"(0, 167, 218, 272)"
915,915.0,BLACKBERRYS,"(222, 196, 436, 326)"
916,916.0,SAIGARMENTS,"(72, 186, 196, 282)"
917,917.0,VEEKAY,"(40, 420, 178, 472)"
918,918.0,nreorreloio,"(0, 194, 81, 234)"
919,919.0,Prince,"(1703, 181, 1826, 269)"
920,920.0,Prince,"(1719, 147, 1854, 243)"
921,921.0,Prnce,"(1749, 108, 1904, 212)"
922,922.0,Prince,"(1792, 72, 1920, 188)"
923,923.0,TOURISTER AMERICAN,"(1639, 129, 1746, 215)"
924,924.0,TOURISTER AMERICAN,"(1638, 105, 1744, 190)"
925,925.0,TOURISTER AMERICAN,"(1623, 94, 1732, 183)"
926,926.0,Prince,"(1780, 11, 1920, 133)"
927,927.0,Prince Clleclior,"(1766, 7, 1920, 125)"
928,928.0,COTTON SAFARI,"(1173, 669, 1307, 727)"
929,929.0,COTTON SAFARI,"(1162, 647, 1275, 698)"
930,930.0,Prince,"(1757, 0, 1920, 112)"
931,931.0,Prince,"(1757, 0, 1920, 112)"
932,932.0,PETERE,"(48, 276, 132, 325)"
933,933.0,OAdHCollelion Prince,"(1744, 0, 1918, 116)"
934,934.0,AUTHENICFAGH COTTON SAFARI,"(1013, 619, 1125, 687)"
935,935.0,AUTHENICFAGH,"(1055, 679, 1169, 759)"
937,937.0,TSHTE,"(870, 97, 970, 137)"
938,938.0,ueonrellaio,"(1181, 146, 1282, 187)"
939,939.0,BAIAJIS,"(1241, 376, 1351, 419)"
940,940.0,unoonelaio,"(1342, 199, 1442, 237)"
941,941.0,BAIAJIS,"(1596, 395, 1715, 440)"
942,942.0,BAIAJIS,"(1557, 406, 1671, 453)"
947,947.0,VEEKAY,"(1284, 400, 1393, 449)"
949,949.0,BAIAJIS,"(1838, 368, 1920, 416)"
952,952.0,EETHA CAFE,"(1243, 417, 1394, 481)"
963,963.0,unoonelaio,"(1805, 154, 1912, 199)"
966,966.0,BIG BOSS,"(0, 159, 156, 289)"
967,967.0,BIG BOSS Jewo,"(9, 162, 143, 291)"
968,968.0,BIG BOSS,"(20, 154, 156, 290)"
969,969.0,BIG BOSS,"(0, 171, 159, 292)"
974,974.0,BIGBI BridalJ,"(62, 199, 179, 313)"
975,975.0,BridalJ BIG305,"(176, 212, 308, 323)"
976,976.0,lashPons,"(62, 377, 138, 422)"
979,979.0,PondyBazaar,"(191, 86, 310, 151)"
980,980.0,lashPons,"(80, 123, 205, 248)"
981,981.0,ADOCCIASENT,"(1395, 738, 1517, 802)"
982,982.0,BIG BOSS BridalJ,"(522, 242, 646, 336)"
983,983.0,SUMMER SALE,"(344, 502, 418, 552)"
987,987.0,LDI用,"(58, 3, 251, 97)"
989,989.0,lashPons,"(262, 124, 468, 251)"
992,992.0,PondyBazaar,"(185, 127, 294, 192)"
993,993.0,BIG BUS! BridalJ,"(397, 275, 510, 363)"
994,994.0,BIG BOSS BridalJ,"(181, 281, 294, 376)"
995,995.0,BAIAJIS,"(1688, 409, 1803, 457)"
996,996.0,BAIAJIS,"(1634, 408, 1735, 453)"
997,997.0,LALCM,"(1755, 407, 1898, 455)"
998,998.0,BIG BOSS,"(215, 340, 293, 413)"
999,999.0,BIG BOSS,"(233, 341, 307, 412)"
1000,1000.0,BAIAJIS,"(1532, 409, 1626, 452)"
1002,1002.0,BAIAJIS,"(1457, 389, 1542, 432)"
1003,1003.0,BAIAJIS,"(1435, 375, 1522, 419)"
1004,1004.0,TN22DS0678,"(1457, 745, 1549, 812)"
1006,1006.0,ERENGLAND,"(1749, 373, 1903, 421)"
1010,1010.0,ERENGLAND,"(1375, 361, 1445, 402)"
1011,1011.0,ERENGLAND,"(0, 390, 74, 438)"
1012,1012.0,Narayar,"(516, 406, 606, 446)"
1013,1013.0,OTELS,"(0, 226, 107, 303)"
1014,1014.0,ANFOTMISON,"(1658, 274, 1796, 372)"
1015,1015.0,TN-07-AU-2520,"(66, 910, 158, 987)"
1016,1016.0,Bata,"(1861, 508, 1920, 546)"
1019,1019.0,NORTH FVIE STARS,"(1587, 548, 1652, 598)"
1020,1020.0,NORTH FVIE STARS,"(1471, 533, 1546, 585)"
1021,1021.0,Scho,"(1846, 440, 1920, 508)"
1022,1022.0,Travelwithchris,"(840, 929, 1024, 983)"
1023,1023.0,Travelwithchris,"(751, 929, 979, 984)"
1024,1024.0,Travelwithchris,"(751, 929, 979, 984)"
1025,1025.0,Travelwithchris,"(751, 929, 979, 984)"
1030,1030.0,RATHNA STORES,"(0, 164, 238, 396)"
1042,1042.0,AYISHA,"(1224, 24, 1404, 137)"
1043,1043.0,RATHNA STORES,"(102, 132, 446, 304)"
1044,1044.0,RATHNA STORES,"(0, 88, 427, 293)"
1045,1045.0,RATHNA STORES,"(332, 30, 944, 324)"
1046,1046.0,Hawkins,"(846, 295, 922, 342)"
1047,1047.0,Hawkins,"(1221, 195, 1305, 246)"
1049,1049.0,APUTERM SHANMUGAM,"(9, 141, 203, 238)"
1067,1067.0,Hawkins,"(328, 232, 450, 391)"
1074,1074.0,Hawkins,"(476, 299, 603, 361)"
1075,1075.0,AYISHA,"(1101, 245, 1200, 287)"
1086,1086.0,RATHNA STORES,"(201, 0, 399, 165)"
1088,1088.0,RATHNA STORES,"(942, 119, 1124, 271)"
1089,1089.0,RATHNA STORES,"(966, 123, 1148, 270)"
1090,1090.0,AYISHA,"(1224, 218, 1325, 260)"
1091,1091.0,AYISHA,"(1288, 243, 1385, 287)"
1092,1092.0,AYISHA,"(973, 215, 1069, 259)"
1093,1093.0,RATHNA STORES,"(355, 0, 821, 211)"
1094,1094.0,CELEBRATE HARD WORK,"(378, 0, 724, 180)"
1095,1095.0,AYISHA,"(1172, 189, 1268, 230)"
1096,1096.0,AYISHA,"(1200, 179, 1299, 226)"
1097,1097.0,Hawkins,"(526, 247, 673, 368)"
1098,1098.0,AYISHA,"(1242, 192, 1341, 236)"
1100,1100.0,AYISHA,"(1278, 211, 1377, 254)"
1101,1101.0,AYISHA,"(1287, 224, 1377, 266)"
1102,1102.0,RATHNA STORES,"(934, 198, 1122, 345)"
1105,1105.0,AYISHA,"(1036, 243, 1130, 283)"
1106,1106.0,AYISHA,"(865, 218, 963, 261)"
1134,1134.0,Hawkins,"(91, 168, 211, 340)"
1135,1135.0,8omm,"(1468, 0, 1517, 148)"
1137,1137.0,c9mm,"(1706, 0, 1759, 123)"
1146,1146.0,Hawkins,"(9, 339, 107, 386)"
1151,1151.0,Kasi,"(158, 40, 235, 328)"
1152,1152.0,T·SDNT.DT,"(174, 64, 243, 352)"
1153,1153.0,T·SDNT.DT,"(210, 136, 272, 372)"
1154,1154.0,Kairasi,"(235, 136, 298, 392)"
1156,1156.0,).SDNI.DY,"(202, 173, 263, 403)"
1157,1157.0,SALE,"(16, 103, 105, 218)"
1160,1160.0,RATHNA STORES,"(122, 0, 218, 317)"
1164,1164.0,RATHNA STORES,"(432, 190, 488, 391)"
1165,1165.0,TOKKS(P)LID,"(0, 40, 137, 179)"
1166,1166.0,RIDEVIGOLD,"(174, 204, 292, 265)"
1167,1167.0,电话话31311 Anandh Bhavan,"(1822, 390, 1920, 450)"
1168,1168.0,RIDEVIGOLD,"(6, 300, 106, 352)"
1169,1169.0,RIDEVIGOLD,"(49, 30, 138, 296)"
1170,1170.0,RIDEVIGOLD,"(79, 343, 165, 388)"
1171,1171.0,RIDEVIGOLD,"(118, 113, 182, 359)"
1172,1172.0,RIDEVIGOLD,"(125, 145, 191, 367)"
1173,1173.0,BREAKFAST,"(1553, 705, 1736, 810)"
1174,1174.0,Triumiphr,"(0, 234, 84, 339)"
1175,1175.0,Taiumoho,"(188, 276, 281, 372)"
1176,1176.0,ANJAPPAR,"(1425, 523, 1532, 602)"
1177,1177.0,RIDEVIGOLD,"(693, 192, 743, 373)"
1178,1178.0,RIDEVIGOLD,"(613, 382, 721, 432)"
1179,1179.0,RIDEVIGOLD,"(556, 435, 659, 483)"
1180,1180.0,BREAKFAST,"(601, 703, 876, 777)"
1181,1181.0,Anandh Bhavan,"(1183, 331, 1296, 388)"
1182,1182.0,GIFT,"(1798, 408, 1861, 465)"
1183,1183.0,Anandh Bhavan,"(1237, 292, 1351, 340)"
1184,1184.0,BREAKFAST,"(470, 638, 619, 702)"
1188,1188.0,RIDEVIGOLD,"(71, 294, 137, 335)"
1190,1190.0,BREAKFAST,"(702, 525, 878, 592)"
1191,1191.0,BREAKFAST,"(711, 515, 913, 598)"
1193,1193.0,BREAKFAST,"(827, 544, 997, 609)"
1196,1196.0,RIDEVIGOLD,"(64, 465, 164, 517)"
